"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_BatchNorm2d_253_forward_output","NN_BatchNorm2d_253_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_254_forward_input.0","NN_BatchNorm2d_254_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_254_forward_output","NN_BatchNorm2d_254_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_255_forward_input.0","NN_BatchNorm2d_255_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_255_forward_output","NN_BatchNorm2d_255_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_256_forward_input.0","NN_BatchNorm2d_256_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_256_forward_output","NN_BatchNorm2d_256_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_257_forward_input.0","NN_BatchNorm2d_257_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_257_forward_output","NN_BatchNorm2d_257_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_258_forward_input.0","NN_BatchNorm2d_258_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"NN_BatchNorm2d_258_forward_output","NN_BatchNorm2d_258_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"Functional_relu_35_forward_input.0","Functional_relu_35_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"Functional_relu_35_forward_output","Functional_relu_35_forward_output","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_252_forward_input.0","NN_Conv2d_252_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_252_forward_output","NN_Conv2d_252_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_253_forward_input.0","NN_Conv2d_253_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_253_forward_output","NN_Conv2d_253_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_254_forward_input.0","NN_Conv2d_254_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_254_forward_output","NN_Conv2d_254_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_255_forward_input.0","NN_Conv2d_255_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_255_forward_output","NN_Conv2d_255_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_256_forward_input.0","NN_Conv2d_256_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_256_forward_output","NN_Conv2d_256_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_257_forward_input.0","NN_Conv2d_257_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_257_forward_output","NN_Conv2d_257_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_Conv2d_258_forward_input.0","NN_Conv2d_258_forward_input.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","24.37%","0.21855","0.03767, 0.54394"
"NN_Conv2d_258_forward_output","NN_Conv2d_258_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_259_forward_input.0","NN_BatchNorm2d_259_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_259_forward_output","NN_BatchNorm2d_259_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_260_forward_input.0","NN_BatchNorm2d_260_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_260_forward_output","NN_BatchNorm2d_260_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_261_forward_input.0","NN_BatchNorm2d_261_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_261_forward_output","NN_BatchNorm2d_261_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_262_forward_input.0","NN_BatchNorm2d_262_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_262_forward_output","NN_BatchNorm2d_262_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_263_forward_input.0","NN_BatchNorm2d_263_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_263_forward_output","NN_BatchNorm2d_263_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_264_forward_input.0","NN_BatchNorm2d_264_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_264_forward_output","NN_BatchNorm2d_264_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_265_forward_input.0","NN_BatchNorm2d_265_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"NN_BatchNorm2d_265_forward_output","NN_BatchNorm2d_265_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"Functional_relu_36_forward_input.0","Functional_relu_36_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","0.20%","0.02854","0.03183, 0.15876"
"Functional_relu_36_forward_output","Functional_relu_36_forward_output","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_259_forward_input.0","NN_Conv2d_259_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_259_forward_output","NN_Conv2d_259_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_260_forward_input.0","NN_Conv2d_260_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_260_forward_output","NN_Conv2d_260_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_261_forward_input.0","NN_Conv2d_261_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_261_forward_output","NN_Conv2d_261_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_262_forward_input.0","NN_Conv2d_262_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_262_forward_output","NN_Conv2d_262_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_263_forward_input.0","NN_Conv2d_263_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_263_forward_output","NN_Conv2d_263_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_264_forward_input.0","NN_Conv2d_264_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_264_forward_output","NN_Conv2d_264_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"NN_Conv2d_265_forward_input.0","NN_Conv2d_265_forward_input.0","(10, 128, 28, 28)","(10, 128, 28, 28)","False","27.36%","0.32687","0.02305, 0.12956"
"NN_Conv2d_265_forward_output","NN_Conv2d_265_forward_output","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"Functional_concat_17_forward_input.0.0","Torch_cat_17_forward_input.0.0","(10, 480, 28, 28)","(10, 480, 28, 28)","False","0.30%","-0.07349","0.05481, 0.71795"
"Functional_concat_17_forward_input.0.1","Torch_cat_17_forward_input.0.1","(10, 32, 28, 28)","(10, 32, 28, 28)","False","0.46%","0.04958","0.01277, 0.05766"
"","Torch_cat_17_forward_output","","(10, 512, 28, 28)","False","0.00%","nan","nan, nan"
"Functional_concat_17_forward_output","","(10, 512, 28, 28)","","False","0.00%","nan","nan, nan"
"NN_BatchNorm2d_266_forward_input.0","NN_BatchNorm2d_266_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_266_forward_output","NN_BatchNorm2d_266_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_267_forward_input.0","NN_BatchNorm2d_267_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_267_forward_output","NN_BatchNorm2d_267_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_268_forward_input.0","NN_BatchNorm2d_268_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_268_forward_output","NN_BatchNorm2d_268_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_269_forward_input.0","NN_BatchNorm2d_269_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_269_forward_output","NN_BatchNorm2d_269_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_270_forward_input.0","NN_BatchNorm2d_270_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_270_forward_output","NN_BatchNorm2d_270_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_271_forward_input.0","NN_BatchNorm2d_271_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_271_forward_output","NN_BatchNorm2d_271_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_272_forward_input.0","NN_BatchNorm2d_272_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"NN_BatchNorm2d_272_forward_output","NN_BatchNorm2d_272_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"Functional_relu_37_forward_input.0","Functional_relu_37_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","0.31%","-0.07327","0.05218, 0.71795"
"Functional_relu_37_forward_output","Functional_relu_37_forward_output","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_266_forward_input.0","NN_Conv2d_266_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_266_forward_output","NN_Conv2d_266_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_267_forward_input.0","NN_Conv2d_267_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_267_forward_output","NN_Conv2d_267_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_268_forward_input.0","NN_Conv2d_268_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_268_forward_output","NN_Conv2d_268_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_269_forward_input.0","NN_Conv2d_269_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_269_forward_output","NN_Conv2d_269_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_270_forward_input.0","NN_Conv2d_270_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_270_forward_output","NN_Conv2d_270_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_271_forward_input.0","NN_Conv2d_271_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_271_forward_output","NN_Conv2d_271_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_Conv2d_272_forward_input.0","NN_Conv2d_272_forward_input.0","(10, 512, 28, 28)","(10, 512, 28, 28)","False","23.92%","0.21879","0.03573, 0.54394"
"NN_Conv2d_272_forward_output","NN_Conv2d_272_forward_output","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_7_forward_input.0","NN_AvgPool2d_7_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_7_forward_output","NN_AvgPool2d_7_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_8_forward_input.0","NN_AvgPool2d_8_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_8_forward_output","NN_AvgPool2d_8_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_9_forward_input.0","NN_AvgPool2d_9_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_9_forward_output","NN_AvgPool2d_9_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_10_forward_input.0","NN_AvgPool2d_10_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_10_forward_output","NN_AvgPool2d_10_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_11_forward_input.0","NN_AvgPool2d_11_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_11_forward_output","NN_AvgPool2d_11_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_12_forward_input.0","NN_AvgPool2d_12_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_12_forward_output","NN_AvgPool2d_12_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_AvgPool2d_13_forward_input.0","NN_AvgPool2d_13_forward_input.0","(10, 256, 28, 28)","(10, 256, 28, 28)","False","0.20%","0.04645","0.02995, 0.16042"
"NN_AvgPool2d_13_forward_output","NN_AvgPool2d_13_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_273_forward_input.0","NN_BatchNorm2d_273_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_273_forward_output","NN_BatchNorm2d_273_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_274_forward_input.0","NN_BatchNorm2d_274_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_274_forward_output","NN_BatchNorm2d_274_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_275_forward_input.0","NN_BatchNorm2d_275_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_275_forward_output","NN_BatchNorm2d_275_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_276_forward_input.0","NN_BatchNorm2d_276_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_276_forward_output","NN_BatchNorm2d_276_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_277_forward_input.0","NN_BatchNorm2d_277_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_277_forward_output","NN_BatchNorm2d_277_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_278_forward_input.0","NN_BatchNorm2d_278_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_278_forward_output","NN_BatchNorm2d_278_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_279_forward_input.0","NN_BatchNorm2d_279_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"NN_BatchNorm2d_279_forward_output","NN_BatchNorm2d_279_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"Functional_relu_38_forward_input.0","Functional_relu_38_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","0.21%","0.04755","0.02958, 0.14673"
"Functional_relu_38_forward_output","Functional_relu_38_forward_output","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_273_forward_input.0","NN_Conv2d_273_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_273_forward_output","NN_Conv2d_273_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_274_forward_input.0","NN_Conv2d_274_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_274_forward_output","NN_Conv2d_274_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_275_forward_input.0","NN_Conv2d_275_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_275_forward_output","NN_Conv2d_275_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_276_forward_input.0","NN_Conv2d_276_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_276_forward_output","NN_Conv2d_276_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_277_forward_input.0","NN_Conv2d_277_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_277_forward_output","NN_Conv2d_277_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_278_forward_input.0","NN_Conv2d_278_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_278_forward_output","NN_Conv2d_278_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_Conv2d_279_forward_input.0","NN_Conv2d_279_forward_input.0","(10, 256, 14, 14)","(10, 256, 14, 14)","False","26.47%","0.32187","0.01964, 0.10097"
"NN_Conv2d_279_forward_output","NN_Conv2d_279_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_280_forward_input.0","NN_BatchNorm2d_280_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_280_forward_output","NN_BatchNorm2d_280_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_281_forward_input.0","NN_BatchNorm2d_281_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_281_forward_output","NN_BatchNorm2d_281_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_282_forward_input.0","NN_BatchNorm2d_282_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_282_forward_output","NN_BatchNorm2d_282_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_283_forward_input.0","NN_BatchNorm2d_283_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_283_forward_output","NN_BatchNorm2d_283_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_284_forward_input.0","NN_BatchNorm2d_284_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_284_forward_output","NN_BatchNorm2d_284_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_285_forward_input.0","NN_BatchNorm2d_285_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_285_forward_output","NN_BatchNorm2d_285_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_286_forward_input.0","NN_BatchNorm2d_286_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"NN_BatchNorm2d_286_forward_output","NN_BatchNorm2d_286_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"Functional_relu_39_forward_input.0","Functional_relu_39_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.43%","-0.07998","0.01286, 0.06275"
"Functional_relu_39_forward_output","Functional_relu_39_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","24.74%","0.29382","0.00831, 0.03682"
"NN_Conv2d_280_forward_input.0","NN_Conv2d_280_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","24.74%","0.29382","0.00831, 0.03682"
"NN_Conv2d_280_forward_output","NN_Conv2d_280_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","1.40%","0.04574","0.00482, 0.02036"
"NN_Conv2d_281_forward_input.0","NN_Conv2d_281_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","24.74%","0.29382","0.00831, 0.03682"
"NN_Conv2d_281_forward_output","NN_Conv2d_281_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","1.40%","0.04574","0.00482, 0.02036"
"NN_Conv2d_282_forward_input.0","NN_Conv2d_282_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","24.74%","0.29382","0.00831, 0.03682"
"NN_Conv2d_282_forward_output","NN_Conv2d_282_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","1.40%","0.04574","0.00482, 0.02036"
"NN_Conv2d_283_forward_input.0","NN_Conv2d_283_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","24.74%","0.29382","0.00831, 0.03682"
"NN_Conv2d_283_forward_output","NN_Conv2d_283_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","1.40%","0.04574","0.00482, 0.02036"
