"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_BatchNorm2d_538_forward_input.0","NN_BatchNorm2d_538_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"NN_BatchNorm2d_538_forward_output","NN_BatchNorm2d_538_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"Functional_relu_75_forward_input.0","Functional_relu_75_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","1.25%","0.11032","0.00600, 0.02703"
"Functional_relu_75_forward_output","Functional_relu_75_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_532_forward_input.0","NN_Conv2d_532_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_532_forward_output","NN_Conv2d_532_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_533_forward_input.0","NN_Conv2d_533_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_533_forward_output","NN_Conv2d_533_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_534_forward_input.0","NN_Conv2d_534_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_534_forward_output","NN_Conv2d_534_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_535_forward_input.0","NN_Conv2d_535_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_535_forward_output","NN_Conv2d_535_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_536_forward_input.0","NN_Conv2d_536_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_536_forward_output","NN_Conv2d_536_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_537_forward_input.0","NN_Conv2d_537_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
"NN_Conv2d_537_forward_output","NN_Conv2d_537_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"NN_Conv2d_538_forward_input.0","NN_Conv2d_538_forward_input.0","(10, 128, 14, 14)","(10, 128, 14, 14)","False","29.23%","0.43906","0.00395, 0.02616"
