"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_AvgPool2d_3","NN_AvgPool2d_3"
"NN_AvgPool2d_4","NN_AvgPool2d_4"
"NN_AvgPool2d_5","NN_AvgPool2d_5"
"","LAYER_features_trans_0
LAYER_features_dense_1_0_bn1"
"NN_BatchNorm2d_84","NN_BatchNorm2d_84"
"NN_BatchNorm2d_85","NN_BatchNorm2d_85"
"NN_BatchNorm2d_86","NN_BatchNorm2d_86"
"NN_BatchNorm2d_87","NN_BatchNorm2d_87"
"NN_BatchNorm2d_88","NN_BatchNorm2d_88"
"NN_BatchNorm2d_89","NN_BatchNorm2d_89"
"Functional_relu_13","Functional_relu_13"
"","LAYER_features_dense_1_0_conv1"
"NN_Conv2d_84","NN_Conv2d_84"
"NN_Conv2d_85","NN_Conv2d_85"
"NN_Conv2d_86","NN_Conv2d_86"
"NN_Conv2d_87","NN_Conv2d_87"
"NN_Conv2d_88","NN_Conv2d_88"
"NN_Conv2d_89","NN_Conv2d_89"
"","LAYER_features_dense_1_0_bn2"
"NN_BatchNorm2d_90","NN_BatchNorm2d_90"
"NN_BatchNorm2d_91","NN_BatchNorm2d_91"
"NN_BatchNorm2d_92","NN_BatchNorm2d_92"
"NN_BatchNorm2d_93","NN_BatchNorm2d_93"
"NN_BatchNorm2d_94","NN_BatchNorm2d_94"
"NN_BatchNorm2d_95","NN_BatchNorm2d_95"
"Functional_relu_14","Functional_relu_14"
"","LAYER_features_dense_1_0_conv2"
"NN_Conv2d_90","NN_Conv2d_90"
"NN_Conv2d_91","NN_Conv2d_91"
"NN_Conv2d_92","NN_Conv2d_92"
"NN_Conv2d_93","NN_Conv2d_93"
"NN_Conv2d_94","NN_Conv2d_94"
"NN_Conv2d_95","NN_Conv2d_95"
"Functional_concat_6","Torch_cat_6
LAYER_features_dense_1_0
LAYER_features_dense_1_1_bn1"
"NN_BatchNorm2d_96","NN_BatchNorm2d_96"
"NN_BatchNorm2d_97","NN_BatchNorm2d_97"
"NN_BatchNorm2d_98","NN_BatchNorm2d_98"
"NN_BatchNorm2d_99","NN_BatchNorm2d_99"
"NN_BatchNorm2d_100","NN_BatchNorm2d_100"
"NN_BatchNorm2d_101","NN_BatchNorm2d_101"
"Functional_relu_15","Functional_relu_15"
"","LAYER_features_dense_1_1_conv1"
"NN_Conv2d_96","NN_Conv2d_96"
"NN_Conv2d_97","NN_Conv2d_97"
"NN_Conv2d_98","NN_Conv2d_98"
"NN_Conv2d_99","NN_Conv2d_99"
"NN_Conv2d_100","NN_Conv2d_100"
"NN_Conv2d_101","NN_Conv2d_101"
"","LAYER_features_dense_1_1_bn2"
"NN_BatchNorm2d_102","NN_BatchNorm2d_102"
"NN_BatchNorm2d_103","NN_BatchNorm2d_103"
"NN_BatchNorm2d_104","NN_BatchNorm2d_104"
"NN_BatchNorm2d_105","NN_BatchNorm2d_105"
"NN_BatchNorm2d_106","NN_BatchNorm2d_106"
"NN_BatchNorm2d_107","NN_BatchNorm2d_107"
"Functional_relu_16","Functional_relu_16"
"","LAYER_features_dense_1_1_conv2"
"NN_Conv2d_102","NN_Conv2d_102"
"NN_Conv2d_103","NN_Conv2d_103"
"NN_Conv2d_104","NN_Conv2d_104"
"NN_Conv2d_105","NN_Conv2d_105"
"NN_Conv2d_106","NN_Conv2d_106"
"NN_Conv2d_107","NN_Conv2d_107"
"Functional_concat_7","Torch_cat_7
LAYER_features_dense_1_1
LAYER_features_dense_1_2_bn1"
"NN_BatchNorm2d_108","NN_BatchNorm2d_108"
"NN_BatchNorm2d_109","NN_BatchNorm2d_109"
"NN_BatchNorm2d_110","NN_BatchNorm2d_110"
"NN_BatchNorm2d_111","NN_BatchNorm2d_111"
"NN_BatchNorm2d_112","NN_BatchNorm2d_112"
"NN_BatchNorm2d_113","NN_BatchNorm2d_113"
"Functional_relu_17","Functional_relu_17"
"","LAYER_features_dense_1_2_conv1"
"NN_Conv2d_108","NN_Conv2d_108"
"NN_Conv2d_109","NN_Conv2d_109"
"NN_Conv2d_110","NN_Conv2d_110"
"NN_Conv2d_111","NN_Conv2d_111"
"NN_Conv2d_112","NN_Conv2d_112"
"NN_Conv2d_113","NN_Conv2d_113"
"","LAYER_features_dense_1_2_bn2"
"NN_BatchNorm2d_114","NN_BatchNorm2d_114"
"NN_BatchNorm2d_115","NN_BatchNorm2d_115"
"NN_BatchNorm2d_116","NN_BatchNorm2d_116"
"NN_BatchNorm2d_117","NN_BatchNorm2d_117"
"NN_BatchNorm2d_118","NN_BatchNorm2d_118"
"NN_BatchNorm2d_119","NN_BatchNorm2d_119"
"Functional_relu_18","Functional_relu_18"
"","LAYER_features_dense_1_2_conv2"
"NN_Conv2d_114","NN_Conv2d_114"
"NN_Conv2d_115","NN_Conv2d_115"
