"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_Conv2d_402","NN_Conv2d_402"
"NN_Conv2d_403","NN_Conv2d_403"
"NN_Conv2d_404","NN_Conv2d_404"
"NN_Conv2d_405","NN_Conv2d_405"
"NN_Conv2d_406","NN_Conv2d_406"
"NN_Conv2d_407","NN_Conv2d_407"
"","LAYER_features_dense_2_14_bn2"
"NN_BatchNorm2d_408","NN_BatchNorm2d_408"
"NN_BatchNorm2d_409","NN_BatchNorm2d_409"
"NN_BatchNorm2d_410","NN_BatchNorm2d_410"
"NN_BatchNorm2d_411","NN_BatchNorm2d_411"
"NN_BatchNorm2d_412","NN_BatchNorm2d_412"
"NN_BatchNorm2d_413","NN_BatchNorm2d_413"
"Functional_relu_67","Functional_relu_67"
"","LAYER_features_dense_2_14_conv2"
"NN_Conv2d_408","NN_Conv2d_408"
"NN_Conv2d_409","NN_Conv2d_409"
"NN_Conv2d_410","NN_Conv2d_410"
"NN_Conv2d_411","NN_Conv2d_411"
"NN_Conv2d_412","NN_Conv2d_412"
"NN_Conv2d_413","NN_Conv2d_413"
"Functional_concat_32","Torch_cat_32
LAYER_features_dense_2_14
LAYER_features_dense_2_15_bn1"
"NN_BatchNorm2d_414","NN_BatchNorm2d_414"
"NN_BatchNorm2d_415","NN_BatchNorm2d_415"
"NN_BatchNorm2d_416","NN_BatchNorm2d_416"
"NN_BatchNorm2d_417","NN_BatchNorm2d_417"
"NN_BatchNorm2d_418","NN_BatchNorm2d_418"
"NN_BatchNorm2d_419","NN_BatchNorm2d_419"
"Functional_relu_68","Functional_relu_68"
"","LAYER_features_dense_2_15_conv1"
"NN_Conv2d_414","NN_Conv2d_414"
"NN_Conv2d_415","NN_Conv2d_415"
"NN_Conv2d_416","NN_Conv2d_416"
"NN_Conv2d_417","NN_Conv2d_417"
"NN_Conv2d_418","NN_Conv2d_418"
"NN_Conv2d_419","NN_Conv2d_419"
"","LAYER_features_dense_2_15_bn2"
"NN_BatchNorm2d_420","NN_BatchNorm2d_420"
"NN_BatchNorm2d_421","NN_BatchNorm2d_421"
"NN_BatchNorm2d_422","NN_BatchNorm2d_422"
"NN_BatchNorm2d_423","NN_BatchNorm2d_423"
"NN_BatchNorm2d_424","NN_BatchNorm2d_424"
"NN_BatchNorm2d_425","NN_BatchNorm2d_425"
"Functional_relu_69","Functional_relu_69"
"","LAYER_features_dense_2_15_conv2"
"NN_Conv2d_420","NN_Conv2d_420"
"NN_Conv2d_421","NN_Conv2d_421"
"NN_Conv2d_422","NN_Conv2d_422"
"NN_Conv2d_423","NN_Conv2d_423"
"NN_Conv2d_424","NN_Conv2d_424"
"NN_Conv2d_425","NN_Conv2d_425"
"Functional_concat_33","Torch_cat_33
LAYER_features_dense_2_15
LAYER_features_dense_2_16_bn1"
"NN_BatchNorm2d_426","NN_BatchNorm2d_426"
"NN_BatchNorm2d_427","NN_BatchNorm2d_427"
"NN_BatchNorm2d_428","NN_BatchNorm2d_428"
"NN_BatchNorm2d_429","NN_BatchNorm2d_429"
"NN_BatchNorm2d_430","NN_BatchNorm2d_430"
"NN_BatchNorm2d_431","NN_BatchNorm2d_431"
"Functional_relu_70","Functional_relu_70"
"","LAYER_features_dense_2_16_conv1"
"NN_Conv2d_426","NN_Conv2d_426"
"NN_Conv2d_427","NN_Conv2d_427"
"NN_Conv2d_428","NN_Conv2d_428"
"NN_Conv2d_429","NN_Conv2d_429"
"NN_Conv2d_430","NN_Conv2d_430"
"NN_Conv2d_431","NN_Conv2d_431"
"","LAYER_features_dense_2_16_bn2"
"NN_BatchNorm2d_432","NN_BatchNorm2d_432"
"NN_BatchNorm2d_433","NN_BatchNorm2d_433"
"NN_BatchNorm2d_434","NN_BatchNorm2d_434"
"NN_BatchNorm2d_435","NN_BatchNorm2d_435"
"NN_BatchNorm2d_436","NN_BatchNorm2d_436"
"NN_BatchNorm2d_437","NN_BatchNorm2d_437"
"Functional_relu_71","Functional_relu_71"
"","LAYER_features_dense_2_16_conv2"
"NN_Conv2d_432","NN_Conv2d_432"
"NN_Conv2d_433","NN_Conv2d_433"
"NN_Conv2d_434","NN_Conv2d_434"
"NN_Conv2d_435","NN_Conv2d_435"
"NN_Conv2d_436","NN_Conv2d_436"
"NN_Conv2d_437","NN_Conv2d_437"
"Functional_concat_34","Torch_cat_34
LAYER_features_dense_2_16
LAYER_features_dense_2_17_bn1"
"NN_BatchNorm2d_438","NN_BatchNorm2d_438"
"NN_BatchNorm2d_439","NN_BatchNorm2d_439"
"NN_BatchNorm2d_440","NN_BatchNorm2d_440"
"NN_BatchNorm2d_441","NN_BatchNorm2d_441"
"NN_BatchNorm2d_442","NN_BatchNorm2d_442"
"NN_BatchNorm2d_443","NN_BatchNorm2d_443"
"Functional_relu_72","Functional_relu_72"
"","LAYER_features_dense_2_17_conv1"
"NN_Conv2d_438","NN_Conv2d_438"
"NN_Conv2d_439","NN_Conv2d_439"
"NN_Conv2d_440","NN_Conv2d_440"
"NN_Conv2d_441","NN_Conv2d_441"
"NN_Conv2d_442","NN_Conv2d_442"
"NN_Conv2d_443","NN_Conv2d_443"
"","LAYER_features_dense_2_17_bn2"
"NN_BatchNorm2d_444","NN_BatchNorm2d_444"
"NN_BatchNorm2d_445","NN_BatchNorm2d_445"
"NN_BatchNorm2d_446","NN_BatchNorm2d_446"
"NN_BatchNorm2d_447","NN_BatchNorm2d_447"
"NN_BatchNorm2d_448","NN_BatchNorm2d_448"
"NN_BatchNorm2d_449","NN_BatchNorm2d_449"
"Functional_relu_73","Functional_relu_73"
"","LAYER_features_dense_2_17_conv2"
"NN_Conv2d_444","NN_Conv2d_444"
"NN_Conv2d_445","NN_Conv2d_445"
"NN_Conv2d_446","NN_Conv2d_446"
"NN_Conv2d_447","NN_Conv2d_447"
"NN_Conv2d_448","NN_Conv2d_448"
"NN_Conv2d_449","NN_Conv2d_449"
"Functional_concat_35","Torch_cat_35
LAYER_features_dense_2_17
LAYER_features_dense_2_18_bn1"
"NN_BatchNorm2d_450","NN_BatchNorm2d_450"
"NN_BatchNorm2d_451","NN_BatchNorm2d_451"
"NN_BatchNorm2d_452","NN_BatchNorm2d_452"
"NN_BatchNorm2d_453","NN_BatchNorm2d_453"
"NN_BatchNorm2d_454","NN_BatchNorm2d_454"
"NN_BatchNorm2d_455","NN_BatchNorm2d_455"
"Functional_relu_74","Functional_relu_74"
"","LAYER_features_dense_2_18_conv1"
"NN_Conv2d_450","NN_Conv2d_450"
"NN_Conv2d_451","NN_Conv2d_451"
"NN_Conv2d_452","NN_Conv2d_452"
"NN_Conv2d_453","NN_Conv2d_453"
"NN_Conv2d_454","NN_Conv2d_454"
"NN_Conv2d_455","NN_Conv2d_455"
"","LAYER_features_dense_2_18_bn2"
"NN_BatchNorm2d_456","NN_BatchNorm2d_456"
"NN_BatchNorm2d_457","NN_BatchNorm2d_457"
"NN_BatchNorm2d_458","NN_BatchNorm2d_458"
"NN_BatchNorm2d_459","NN_BatchNorm2d_459"
"NN_BatchNorm2d_460","NN_BatchNorm2d_460"
"NN_BatchNorm2d_461","NN_BatchNorm2d_461"
"Functional_relu_75","Functional_relu_75"
"","LAYER_features_dense_2_18_conv2"
"NN_Conv2d_456","NN_Conv2d_456"
"NN_Conv2d_457","NN_Conv2d_457"
"NN_Conv2d_458","NN_Conv2d_458"
"NN_Conv2d_459","NN_Conv2d_459"
"NN_Conv2d_460","NN_Conv2d_460"
"NN_Conv2d_461","NN_Conv2d_461"
"Functional_concat_36","Torch_cat_36
LAYER_features_dense_2_18
LAYER_features_dense_2_19_bn1"
"NN_BatchNorm2d_462","NN_BatchNorm2d_462"
"NN_BatchNorm2d_463","NN_BatchNorm2d_463"
"NN_BatchNorm2d_464","NN_BatchNorm2d_464"
"NN_BatchNorm2d_465","NN_BatchNorm2d_465"
"NN_BatchNorm2d_466","NN_BatchNorm2d_466"
"NN_BatchNorm2d_467","NN_BatchNorm2d_467"
"Functional_relu_76","Functional_relu_76"
"","LAYER_features_dense_2_19_conv1"
"NN_Conv2d_462","NN_Conv2d_462"
"NN_Conv2d_463","NN_Conv2d_463"
"NN_Conv2d_464","NN_Conv2d_464"
"NN_Conv2d_465","NN_Conv2d_465"
"NN_Conv2d_466","NN_Conv2d_466"
"NN_Conv2d_467","NN_Conv2d_467"
"","LAYER_features_dense_2_19_bn2"
"NN_BatchNorm2d_468","NN_BatchNorm2d_468"
"NN_BatchNorm2d_469","NN_BatchNorm2d_469"
"NN_BatchNorm2d_470","NN_BatchNorm2d_470"
"NN_BatchNorm2d_471","NN_BatchNorm2d_471"
"NN_BatchNorm2d_472","NN_BatchNorm2d_472"
"NN_BatchNorm2d_473","NN_BatchNorm2d_473"
"Functional_relu_77","Functional_relu_77"
"","LAYER_features_dense_2_19_conv2"
"NN_Conv2d_468","NN_Conv2d_468"
"NN_Conv2d_469","NN_Conv2d_469"
"NN_Conv2d_470","NN_Conv2d_470"
"NN_Conv2d_471","NN_Conv2d_471"
"NN_Conv2d_472","NN_Conv2d_472"
"NN_Conv2d_473","NN_Conv2d_473"
"Functional_concat_37","Torch_cat_37
LAYER_features_dense_2_19
LAYER_features_dense_2_20_bn1"
"NN_BatchNorm2d_474","NN_BatchNorm2d_474"
"NN_BatchNorm2d_475","NN_BatchNorm2d_475"
"NN_BatchNorm2d_476","NN_BatchNorm2d_476"
"NN_BatchNorm2d_477","NN_BatchNorm2d_477"
"NN_BatchNorm2d_478","NN_BatchNorm2d_478"
"NN_BatchNorm2d_479","NN_BatchNorm2d_479"
"Functional_relu_78","Functional_relu_78"
"","LAYER_features_dense_2_20_conv1"
"NN_Conv2d_474","NN_Conv2d_474"
"NN_Conv2d_475","NN_Conv2d_475"
"NN_Conv2d_476","NN_Conv2d_476"
"NN_Conv2d_477","NN_Conv2d_477"
"NN_Conv2d_478","NN_Conv2d_478"
"NN_Conv2d_479","NN_Conv2d_479"
"","LAYER_features_dense_2_20_bn2"
"NN_BatchNorm2d_480","NN_BatchNorm2d_480"
"NN_BatchNorm2d_481","NN_BatchNorm2d_481"
"NN_BatchNorm2d_482","NN_BatchNorm2d_482"
"NN_BatchNorm2d_483","NN_BatchNorm2d_483"
"NN_BatchNorm2d_484","NN_BatchNorm2d_484"
"NN_BatchNorm2d_485","NN_BatchNorm2d_485"
"Functional_relu_79","Functional_relu_79"
"","LAYER_features_dense_2_20_conv2"
"NN_Conv2d_480","NN_Conv2d_480"
"NN_Conv2d_481","NN_Conv2d_481"
"NN_Conv2d_482","NN_Conv2d_482"
"NN_Conv2d_483","NN_Conv2d_483"
"NN_Conv2d_484","NN_Conv2d_484"
"NN_Conv2d_485","NN_Conv2d_485"
"Functional_concat_38","Torch_cat_38
LAYER_features_dense_2_20
LAYER_features_dense_2_21_bn1"
"NN_BatchNorm2d_486","NN_BatchNorm2d_486"
"NN_BatchNorm2d_487","NN_BatchNorm2d_487"
"NN_BatchNorm2d_488","NN_BatchNorm2d_488"
"NN_BatchNorm2d_489","NN_BatchNorm2d_489"
"NN_BatchNorm2d_490","NN_BatchNorm2d_490"
"NN_BatchNorm2d_491","NN_BatchNorm2d_491"
"Functional_relu_80","Functional_relu_80"
"","LAYER_features_dense_2_21_conv1"
"NN_Conv2d_486","NN_Conv2d_486"
"NN_Conv2d_487","NN_Conv2d_487"
"NN_Conv2d_488","NN_Conv2d_488"
"NN_Conv2d_489","NN_Conv2d_489"
"NN_Conv2d_490","NN_Conv2d_490"
"NN_Conv2d_491","NN_Conv2d_491"
"","LAYER_features_dense_2_21_bn2"
"NN_BatchNorm2d_492","NN_BatchNorm2d_492"
"NN_BatchNorm2d_493","NN_BatchNorm2d_493"
"NN_BatchNorm2d_494","NN_BatchNorm2d_494"
"NN_BatchNorm2d_495","NN_BatchNorm2d_495"
"NN_BatchNorm2d_496","NN_BatchNorm2d_496"
"NN_BatchNorm2d_497","NN_BatchNorm2d_497"
"Functional_relu_81","Functional_relu_81"
"","LAYER_features_dense_2_21_conv2"
"NN_Conv2d_492","NN_Conv2d_492"
"NN_Conv2d_493","NN_Conv2d_493"
"NN_Conv2d_494","NN_Conv2d_494"
"NN_Conv2d_495","NN_Conv2d_495"
"NN_Conv2d_496","NN_Conv2d_496"
"NN_Conv2d_497","NN_Conv2d_497"
"Functional_concat_39","Torch_cat_39
LAYER_features_dense_2_21
LAYER_features_dense_2_22_bn1"
"NN_BatchNorm2d_498","NN_BatchNorm2d_498"
"NN_BatchNorm2d_499","NN_BatchNorm2d_499"
"NN_BatchNorm2d_500","NN_BatchNorm2d_500"
"NN_BatchNorm2d_501","NN_BatchNorm2d_501"
"NN_BatchNorm2d_502","NN_BatchNorm2d_502"
"NN_BatchNorm2d_503","NN_BatchNorm2d_503"
"Functional_relu_82","Functional_relu_82"
"","LAYER_features_dense_2_22_conv1"
"NN_Conv2d_498","NN_Conv2d_498"
"NN_Conv2d_499","NN_Conv2d_499"
"NN_Conv2d_500","NN_Conv2d_500"
"NN_Conv2d_501","NN_Conv2d_501"
"NN_Conv2d_502","NN_Conv2d_502"
"NN_Conv2d_503","NN_Conv2d_503"
"","LAYER_features_dense_2_22_bn2"
"NN_BatchNorm2d_504","NN_BatchNorm2d_504"
"NN_BatchNorm2d_505","NN_BatchNorm2d_505"
"NN_BatchNorm2d_506","NN_BatchNorm2d_506"
"NN_BatchNorm2d_507","NN_BatchNorm2d_507"
"NN_BatchNorm2d_508","NN_BatchNorm2d_508"
"NN_BatchNorm2d_509","NN_BatchNorm2d_509"
"Functional_relu_83","Functional_relu_83"
"","LAYER_features_dense_2_22_conv2"
"NN_Conv2d_504","NN_Conv2d_504"
"NN_Conv2d_505","NN_Conv2d_505"
"NN_Conv2d_506","NN_Conv2d_506"
"NN_Conv2d_507","NN_Conv2d_507"
"NN_Conv2d_508","NN_Conv2d_508"
"NN_Conv2d_509","NN_Conv2d_509"
"Functional_concat_40","Torch_cat_40
LAYER_features_dense_2_22
LAYER_features_dense_2_23_bn1"
"NN_BatchNorm2d_510","NN_BatchNorm2d_510"
"NN_BatchNorm2d_511","NN_BatchNorm2d_511"
"NN_BatchNorm2d_512","NN_BatchNorm2d_512"
"NN_BatchNorm2d_513","NN_BatchNorm2d_513"
"NN_BatchNorm2d_514","NN_BatchNorm2d_514"
"NN_BatchNorm2d_515","NN_BatchNorm2d_515"
"Functional_relu_84","Functional_relu_84"
"","LAYER_features_dense_2_23_conv1"
"NN_Conv2d_510","NN_Conv2d_510"
"NN_Conv2d_511","NN_Conv2d_511"
"NN_Conv2d_512","NN_Conv2d_512"
"NN_Conv2d_513","NN_Conv2d_513"
"NN_Conv2d_514","NN_Conv2d_514"
"NN_Conv2d_515","NN_Conv2d_515"
"","LAYER_features_dense_2_23_bn2"
"NN_BatchNorm2d_516","NN_BatchNorm2d_516"
"NN_BatchNorm2d_517","NN_BatchNorm2d_517"
"NN_BatchNorm2d_518","NN_BatchNorm2d_518"
"NN_BatchNorm2d_519","NN_BatchNorm2d_519"
"NN_BatchNorm2d_520","NN_BatchNorm2d_520"
"NN_BatchNorm2d_521","NN_BatchNorm2d_521"
"Functional_relu_85","Functional_relu_85"
"","LAYER_features_dense_2_23_conv2"
"NN_Conv2d_516","NN_Conv2d_516"
"NN_Conv2d_517","NN_Conv2d_517"
"NN_Conv2d_518","NN_Conv2d_518"
"NN_Conv2d_519","NN_Conv2d_519"
"NN_Conv2d_520","NN_Conv2d_520"
"NN_Conv2d_521","NN_Conv2d_521"
"Functional_concat_41","Torch_cat_41
LAYER_features_dense_2_23
LAYER_features_dense_2
LAYER_features_trans_2_bn"
"NN_BatchNorm2d_522","NN_BatchNorm2d_522"
"NN_BatchNorm2d_523","NN_BatchNorm2d_523"
"NN_BatchNorm2d_524","NN_BatchNorm2d_524"
"NN_BatchNorm2d_525","NN_BatchNorm2d_525"
"NN_BatchNorm2d_526","NN_BatchNorm2d_526"
"NN_BatchNorm2d_527","NN_BatchNorm2d_527"
"Functional_relu_86","Functional_relu_86"
"","LAYER_features_trans_2_conv"
"NN_Conv2d_522","NN_Conv2d_522"
"NN_Conv2d_523","NN_Conv2d_523"
"NN_Conv2d_524","NN_Conv2d_524"
"NN_Conv2d_525","NN_Conv2d_525"
"NN_Conv2d_526","NN_Conv2d_526"
"NN_Conv2d_527","NN_Conv2d_527"
"","LAYER_features_trans_2_pool"
"NN_AvgPool2d_12","NN_AvgPool2d_12"
"NN_AvgPool2d_13","NN_AvgPool2d_13"
"NN_AvgPool2d_14","NN_AvgPool2d_14"
"NN_AvgPool2d_15","NN_AvgPool2d_15"
"NN_AvgPool2d_16","NN_AvgPool2d_16"
"NN_AvgPool2d_17","NN_AvgPool2d_17"
"","LAYER_features_trans_2
LAYER_features_dense_3_0_bn1"
"NN_BatchNorm2d_528","NN_BatchNorm2d_528"
"NN_BatchNorm2d_529","NN_BatchNorm2d_529"
"NN_BatchNorm2d_530","NN_BatchNorm2d_530"
"NN_BatchNorm2d_531","NN_BatchNorm2d_531"
"NN_BatchNorm2d_532","NN_BatchNorm2d_532"
"NN_BatchNorm2d_533","NN_BatchNorm2d_533"
"Functional_relu_87","Functional_relu_87"
"","LAYER_features_dense_3_0_conv1"
"NN_Conv2d_528","NN_Conv2d_528"
"NN_Conv2d_529","NN_Conv2d_529"
"NN_Conv2d_530","NN_Conv2d_530"
"NN_Conv2d_531","NN_Conv2d_531"
"NN_Conv2d_532","NN_Conv2d_532"
"NN_Conv2d_533","NN_Conv2d_533"
"","LAYER_features_dense_3_0_bn2"
"NN_BatchNorm2d_534","NN_BatchNorm2d_534"
"NN_BatchNorm2d_535","NN_BatchNorm2d_535"
"NN_BatchNorm2d_536","NN_BatchNorm2d_536"
"NN_BatchNorm2d_537","NN_BatchNorm2d_537"
"NN_BatchNorm2d_538","NN_BatchNorm2d_538"
"NN_BatchNorm2d_539","NN_BatchNorm2d_539"
"Functional_relu_88","Functional_relu_88"
"","LAYER_features_dense_3_0_conv2"
"NN_Conv2d_534","NN_Conv2d_534"
"NN_Conv2d_535","NN_Conv2d_535"
"NN_Conv2d_536","NN_Conv2d_536"
"NN_Conv2d_537","NN_Conv2d_537"
"NN_Conv2d_538","NN_Conv2d_538"
"NN_Conv2d_539","NN_Conv2d_539"
"Functional_concat_42","Torch_cat_42
LAYER_features_dense_3_0
LAYER_features_dense_3_1_bn1"
"NN_BatchNorm2d_540","NN_BatchNorm2d_540"
"NN_BatchNorm2d_541","NN_BatchNorm2d_541"
"NN_BatchNorm2d_542","NN_BatchNorm2d_542"
"NN_BatchNorm2d_543","NN_BatchNorm2d_543"
"NN_BatchNorm2d_544","NN_BatchNorm2d_544"
"NN_BatchNorm2d_545","NN_BatchNorm2d_545"
"Functional_relu_89","Functional_relu_89"
"","LAYER_features_dense_3_1_conv1"
"NN_Conv2d_540","NN_Conv2d_540"
"NN_Conv2d_541","NN_Conv2d_541"
"NN_Conv2d_542","NN_Conv2d_542"
"NN_Conv2d_543","NN_Conv2d_543"
"NN_Conv2d_544","NN_Conv2d_544"
"NN_Conv2d_545","NN_Conv2d_545"
"","LAYER_features_dense_3_1_bn2"
"NN_BatchNorm2d_546","NN_BatchNorm2d_546"
"NN_BatchNorm2d_547","NN_BatchNorm2d_547"
"NN_BatchNorm2d_548","NN_BatchNorm2d_548"
"NN_BatchNorm2d_549","NN_BatchNorm2d_549"
"NN_BatchNorm2d_550","NN_BatchNorm2d_550"
"NN_BatchNorm2d_551","NN_BatchNorm2d_551"
"Functional_relu_90","Functional_relu_90"
"","LAYER_features_dense_3_1_conv2"
"NN_Conv2d_546","NN_Conv2d_546"
"NN_Conv2d_547","NN_Conv2d_547"
"NN_Conv2d_548","NN_Conv2d_548"
"NN_Conv2d_549","NN_Conv2d_549"
"NN_Conv2d_550","NN_Conv2d_550"
"NN_Conv2d_551","NN_Conv2d_551"
"Functional_concat_43","Torch_cat_43
LAYER_features_dense_3_1
LAYER_features_dense_3_2_bn1"
"NN_BatchNorm2d_552","NN_BatchNorm2d_552"
"NN_BatchNorm2d_553","NN_BatchNorm2d_553"
"NN_BatchNorm2d_554","NN_BatchNorm2d_554"
"NN_BatchNorm2d_555","NN_BatchNorm2d_555"
"NN_BatchNorm2d_556","NN_BatchNorm2d_556"
"NN_BatchNorm2d_557","NN_BatchNorm2d_557"
"Functional_relu_91","Functional_relu_91"
"","LAYER_features_dense_3_2_conv1"
"NN_Conv2d_552","NN_Conv2d_552"
"NN_Conv2d_553","NN_Conv2d_553"
"NN_Conv2d_554","NN_Conv2d_554"
"NN_Conv2d_555","NN_Conv2d_555"
"NN_Conv2d_556","NN_Conv2d_556"
"NN_Conv2d_557","NN_Conv2d_557"
"","LAYER_features_dense_3_2_bn2"
"NN_BatchNorm2d_558","NN_BatchNorm2d_558"
"NN_BatchNorm2d_559","NN_BatchNorm2d_559"
"NN_BatchNorm2d_560","NN_BatchNorm2d_560"
"NN_BatchNorm2d_561","NN_BatchNorm2d_561"
"NN_BatchNorm2d_562","NN_BatchNorm2d_562"
"NN_BatchNorm2d_563","NN_BatchNorm2d_563"
"Functional_relu_92","Functional_relu_92"
"","LAYER_features_dense_3_2_conv2"
"NN_Conv2d_558","NN_Conv2d_558"
"NN_Conv2d_559","NN_Conv2d_559"
"NN_Conv2d_560","NN_Conv2d_560"
"NN_Conv2d_561","NN_Conv2d_561"
"NN_Conv2d_562","NN_Conv2d_562"
"NN_Conv2d_563","NN_Conv2d_563"
"Functional_concat_44","Torch_cat_44
LAYER_features_dense_3_2
LAYER_features_dense_3_3_bn1"
"NN_BatchNorm2d_564","NN_BatchNorm2d_564"
"NN_BatchNorm2d_565","NN_BatchNorm2d_565"
"NN_BatchNorm2d_566","NN_BatchNorm2d_566"
"NN_BatchNorm2d_567","NN_BatchNorm2d_567"
"NN_BatchNorm2d_568","NN_BatchNorm2d_568"
"NN_BatchNorm2d_569","NN_BatchNorm2d_569"
"Functional_relu_93","Functional_relu_93"
"","LAYER_features_dense_3_3_conv1"
"NN_Conv2d_564","NN_Conv2d_564"
"NN_Conv2d_565","NN_Conv2d_565"
"NN_Conv2d_566","NN_Conv2d_566"
"NN_Conv2d_567","NN_Conv2d_567"
"NN_Conv2d_568","NN_Conv2d_568"
"NN_Conv2d_569","NN_Conv2d_569"
"","LAYER_features_dense_3_3_bn2"
"NN_BatchNorm2d_570","NN_BatchNorm2d_570"
"NN_BatchNorm2d_571","NN_BatchNorm2d_571"
"NN_BatchNorm2d_572","NN_BatchNorm2d_572"
"NN_BatchNorm2d_573","NN_BatchNorm2d_573"
"NN_BatchNorm2d_574","NN_BatchNorm2d_574"
"NN_BatchNorm2d_575","NN_BatchNorm2d_575"
"Functional_relu_94","Functional_relu_94"
"","LAYER_features_dense_3_3_conv2"
"NN_Conv2d_570","NN_Conv2d_570"
"NN_Conv2d_571","NN_Conv2d_571"
"NN_Conv2d_572","NN_Conv2d_572"
"NN_Conv2d_573","NN_Conv2d_573"
"NN_Conv2d_574","NN_Conv2d_574"
"NN_Conv2d_575","NN_Conv2d_575"
"Functional_concat_45","Torch_cat_45
LAYER_features_dense_3_3
LAYER_features_dense_3_4_bn1"
"NN_BatchNorm2d_576","NN_BatchNorm2d_576"
"NN_BatchNorm2d_577","NN_BatchNorm2d_577"
"NN_BatchNorm2d_578","NN_BatchNorm2d_578"
"NN_BatchNorm2d_579","NN_BatchNorm2d_579"
"NN_BatchNorm2d_580","NN_BatchNorm2d_580"
"NN_BatchNorm2d_581","NN_BatchNorm2d_581"
"Functional_relu_95","Functional_relu_95"
"","LAYER_features_dense_3_4_conv1"
"NN_Conv2d_576","NN_Conv2d_576"
"NN_Conv2d_577","NN_Conv2d_577"
"NN_Conv2d_578","NN_Conv2d_578"
"NN_Conv2d_579","NN_Conv2d_579"
"NN_Conv2d_580","NN_Conv2d_580"
"NN_Conv2d_581","NN_Conv2d_581"
"","LAYER_features_dense_3_4_bn2"
"NN_BatchNorm2d_582","NN_BatchNorm2d_582"
"NN_BatchNorm2d_583","NN_BatchNorm2d_583"
"NN_BatchNorm2d_584","NN_BatchNorm2d_584"
"NN_BatchNorm2d_585","NN_BatchNorm2d_585"
"NN_BatchNorm2d_586","NN_BatchNorm2d_586"
"NN_BatchNorm2d_587","NN_BatchNorm2d_587"
"Functional_relu_96","Functional_relu_96"
"","LAYER_features_dense_3_4_conv2"
"NN_Conv2d_582","NN_Conv2d_582"
"NN_Conv2d_583","NN_Conv2d_583"
"NN_Conv2d_584","NN_Conv2d_584"
"NN_Conv2d_585","NN_Conv2d_585"
"NN_Conv2d_586","NN_Conv2d_586"
"NN_Conv2d_587","NN_Conv2d_587"
"Functional_concat_46","Torch_cat_46
LAYER_features_dense_3_4
LAYER_features_dense_3_5_bn1"
"NN_BatchNorm2d_588","NN_BatchNorm2d_588"
"NN_BatchNorm2d_589","NN_BatchNorm2d_589"
"NN_BatchNorm2d_590","NN_BatchNorm2d_590"
"NN_BatchNorm2d_591","NN_BatchNorm2d_591"
"NN_BatchNorm2d_592","NN_BatchNorm2d_592"
"NN_BatchNorm2d_593","NN_BatchNorm2d_593"
"Functional_relu_97","Functional_relu_97"
"","LAYER_features_dense_3_5_conv1"
"NN_Conv2d_588","NN_Conv2d_588"
"NN_Conv2d_589","NN_Conv2d_589"
"NN_Conv2d_590","NN_Conv2d_590"
"NN_Conv2d_591","NN_Conv2d_591"
"NN_Conv2d_592","NN_Conv2d_592"
"NN_Conv2d_593","NN_Conv2d_593"
"","LAYER_features_dense_3_5_bn2"
"NN_BatchNorm2d_594","NN_BatchNorm2d_594"
"NN_BatchNorm2d_595","NN_BatchNorm2d_595"
"NN_BatchNorm2d_596","NN_BatchNorm2d_596"
"NN_BatchNorm2d_597","NN_BatchNorm2d_597"
"NN_BatchNorm2d_598","NN_BatchNorm2d_598"
"NN_BatchNorm2d_599","NN_BatchNorm2d_599"
"Functional_relu_98","Functional_relu_98"
"","LAYER_features_dense_3_5_conv2"
"NN_Conv2d_594","NN_Conv2d_594"
"NN_Conv2d_595","NN_Conv2d_595"
"NN_Conv2d_596","NN_Conv2d_596"
"NN_Conv2d_597","NN_Conv2d_597"
"NN_Conv2d_598","NN_Conv2d_598"
"NN_Conv2d_599","NN_Conv2d_599"
"Functional_concat_47","Torch_cat_47
LAYER_features_dense_3_5
LAYER_features_dense_3_6_bn1"
"NN_BatchNorm2d_600","NN_BatchNorm2d_600"
"NN_BatchNorm2d_601","NN_BatchNorm2d_601"
"NN_BatchNorm2d_602","NN_BatchNorm2d_602"
"NN_BatchNorm2d_603","NN_BatchNorm2d_603"
"NN_BatchNorm2d_604","NN_BatchNorm2d_604"
"NN_BatchNorm2d_605","NN_BatchNorm2d_605"
"Functional_relu_99","Functional_relu_99"
"","LAYER_features_dense_3_6_conv1"
"NN_Conv2d_600","NN_Conv2d_600"
"NN_Conv2d_601","NN_Conv2d_601"
"NN_Conv2d_602","NN_Conv2d_602"
"NN_Conv2d_603","NN_Conv2d_603"
"NN_Conv2d_604","NN_Conv2d_604"
"NN_Conv2d_605","NN_Conv2d_605"
"","LAYER_features_dense_3_6_bn2"
"NN_BatchNorm2d_606","NN_BatchNorm2d_606"
"NN_BatchNorm2d_607","NN_BatchNorm2d_607"
"NN_BatchNorm2d_608","NN_BatchNorm2d_608"
"NN_BatchNorm2d_609","NN_BatchNorm2d_609"
"NN_BatchNorm2d_610","NN_BatchNorm2d_610"
"NN_BatchNorm2d_611","NN_BatchNorm2d_611"
"Functional_relu_100","Functional_relu_100"
"","LAYER_features_dense_3_6_conv2"
"NN_Conv2d_606","NN_Conv2d_606"
"NN_Conv2d_607","NN_Conv2d_607"
"NN_Conv2d_608","NN_Conv2d_608"
"NN_Conv2d_609","NN_Conv2d_609"
"NN_Conv2d_610","NN_Conv2d_610"
"NN_Conv2d_611","NN_Conv2d_611"
