"(Precision_Test, Precision_Attack)","(Device_Test, Device_Attack)","(Compile_Test(fallback_random, epilogue_fusion, shape_padding, dynamic), Compile_Attack(fallback_random, epilogue_fusion, shape_padding, dynamic))",Total_cnt,Same_cnt,Prob
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1172,0.5320018157058557
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,1420,0.6445755787562415
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,2196,0.9968225147526101
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,1276,0.5792101679527917
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,1349,0.6123467998184294
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2199,0.9981842941443486
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,1422,0.6454834316840672
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,2091,0.9491602360417613
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,2202,0.9995460735360872
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,1111,0.5043123014071721
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2004,0.9096686336813437
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,1813,0.82296867907399
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,1971,0.8946890603722197
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,1901,0.8629142078983205
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,1730,0.7852927825692237
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,1305,0.5923740354062642
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,2201,0.9990921470721743
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,1955,0.8874262369496142
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,2194,0.9959146618247844
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,1642,0.7453472537448933
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1384,0.628234226055379
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1481,0.6722650930549251
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,0000)",2203,2196,0.9968225147526101
"(fp64,fp64)","(cuda:0,cuda:0)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,0000)",2203,2122,0.9632319564230595
"(fp64,fp64)","(cuda:0,cuda:0)","(1000,1000)",2203,1809,0.8211529732183386
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0001)",2203,1400,0.6354970494779846
"(fp64,fp64)","(cuda:0,cuda:0)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0001)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0101,0101)",2203,1585,0.7194734453018611
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0100,0110)",2203,1590,0.7217430776214253
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0110)",2203,1694,0.7689514298683613
"(fp64,fp64)","(cuda:0,cuda:0)","(0110,0111)",2203,2203,1.0
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0110)",2203,2188,0.9931911030413073
"(fp64,fp64)","(cuda:0,cuda:0)","(0111,0111)",2203,2103,0.9546073536087154
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1522,0.6908760780753518
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,1787,0.811166591012256
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1476,0.6699954607353609
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,1122,0.5093054925102134
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,1654,0.7507943713118475
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,1502,0.6817975487970949
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,2035,0.9237403540626419
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,1733,0.7866545619609623
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,1206,0.5474353154788925
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,1636,0.7426236949614162
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,1292,0.5864729913753972
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1722,0.781661370857921
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1571,0.7131184748070812
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,1998,0.9069450748978666
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,1639,0.7439854743531548
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,1309,0.5941897412619156
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2172,0.9859282796187018
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2134,0.9686790739900136
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,1054,0.4784384929641398
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1566,0.710848842487517
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,1868,0.8479346345891966
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1760,0.7989105764866091
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,2109,0.9573309123921925
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,2189,0.9936450295052202
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,1996,0.9060372219700409
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,1611,0.7312755333635951
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,1509,0.6849750340444848
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,1784,0.8098048116205174
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1556,0.7063095778483885
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,2198,0.9977303676804358
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1908,0.8660916931457104
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,1690,0.7671357240127099
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,1457,0.6613708579210168
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,1799,0.8166137085792101
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,2169,0.9845665002269632
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,1630,0.7399001361779391
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,1521,0.6904221516114389
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2070,0.9396277802995915
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,1429,0.6486609169314571
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,1345,0.610531093962778
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,2201,0.9990921470721743
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,1593,0.7231048570131638
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1997,0.9064911484339537
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,1335,0.6059918293236496
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,1787,0.811166591012256
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,2199,0.9981842941443486
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,1722,0.781661370857921
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,2008,0.911484339536995
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,1385,0.6286881525192919
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,1991,0.9037675896504767
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2170,0.9850204266908761
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,1682,0.7635043123014071
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,1724,0.7825692237857467
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,1986,0.9014979573309124
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1947,0.8837948252383114
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,1436,0.651838402178847
"(fp64,fp64)","(cpu,cpu)","(0001,0001)",2203,1307,0.5932818883340899
"(fp64,fp64)","(cpu,cpu)","(0001,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0101,0001)",2203,2194,0.9959146618247844
"(fp64,fp64)","(cpu,cpu)","(0101,0101)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0100,0100)",2203,2171,0.9854743531547889
"(fp64,fp64)","(cpu,cpu)","(0100,0110)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0100)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2202,0.9995460735360872
"(fp64,fp64)","(cpu,cpu)","(0110,0110)",2203,2192,0.9950068088969587
"(fp64,fp64)","(cpu,cpu)","(0110,0111)",2203,1347,0.6114389468906037
"(fp64,fp64)","(cpu,cpu)","(0111,0110)",2203,2092,0.9496141625056741
"(fp64,fp64)","(cpu,cpu)","(0111,0111)",2203,1292,0.5864729913753972
"(fp64,fp64)","(cpu,cpu)","(0000,0000)",2203,1527,0.693145710394916
"(fp64,fp64)","(cpu,cpu)","(0000,1000)",2203,2203,1.0
"(fp64,fp64)","(cpu,cpu)","(1000,0000)",2203,1356,0.6155242850658194
"(fp64,fp64)","(cpu,cpu)","(1000,1000)",2203,2203,1.0
